i,Êtitle,Êtype,Êsubject,Êlevel,ÊmodifiedBy,Êstatus,ÊownerGroup,Êlink,ÊconceptMaps
69,Inertial Frames [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f6520aa5-b0b1-4fcb-baa4-fe925196e178/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
70,The Multiple Meanings of Mass [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/aa017d0a-539c-4a0f-ae9c-6e2e7b25303b/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
71,Potentiometer Circuits [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/8130889a-0991-4ad6-aa06-5fc53ce21f1e/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
72,Upthrust [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/1dc4a553-b7b2-4ccb-872b-d056c2498f90/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
73,Conservation of Energy (Lesson 3/3)  [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/9e32d157-fbe1-4e9e-be53-bc506f49744d/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
74,Force and Momentum [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6ab6e232-bf86-45bb-910b-5bc7c03d8961/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
75,Collisions and Momentum [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6abc3110-3bff-4bcd-ab8b-1e2a9fbaa5a7/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
76,Turning Effects of Forces [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a4883d04-055b-4908-9b1c-321509759d63/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
77,Electric Field [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6e5a0212-a16f-467a-a720-b9b4f7da9dbe/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
78,Alternating Current (Lesson 1/2) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/2f4ba3fb-c952-41ea-8511-26d2bb3c0d33/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
79,Magnetic Field Produced by Current-Carrying Conductors [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/da578953-093e-4f3c-9aab-0f548c2ad4e6/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
80,Interactions between Magnetic Fields and Current-Carrying Conductors [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",29-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c6c58258-a7af-48fc-b3ca-25863cfe1884/cover,Pre-U Physics (H2)  > Oscillations and Waves > Superposition
81,Force on a Moving Charge in a Magnetic Field [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/12732cd8-e407-4135-be21-dd34bb3726d4/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
82,Magnetic Field Produced by Current-Carrying Conductors [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0df62b6c-22b2-40c8-b0cd-54a7c332c630/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
83,Potential Divider Circuits [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a8371f40-6d35-4380-81d0-4601a561aadf/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
84,Current and Charge [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/066cee00-0219-4ee2-a932-926f435d98f0/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
85,Pressure in a Fluid [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/14a8985c-52de-474b-a777-ecddaae890f7/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
86,Equilibrium of Extended Bodies [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a21b72a3-c151-414b-a12b-34981bdccef8/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
87,Forces [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/edcad2cf-ebdd-48e6-a05b-b0c16ed0fe67/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
88,Magnetic Flux [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/bc8b5b82-bcc5-4516-86cf-3df1f4451d21/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
89,The Effect of Electromagnetic Induction on a Magnet Falling Through a Copper Pipe [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/8fe5ab92-7e97-447f-9fda-a016a70be839/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
90,Describing Circular Motion (Lesson 2/3) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/300610b4-e400-45c8-8faa-19a7f52adbe2/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
91,Power and Resistance in a Circuit (Lesson 1/2) [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c38f325b-2897-4719-a8d7-c2f8667155de/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
92,Power and Resistance in a Circuit (Lesson 1/2) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c3bd640d-1d55-44dc-a022-7cc19505b52d/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
93,Gravitational Force [H1 Physics] // (Lesson 1/5) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ee44e6cd-60bf-47d9-a967-347392d3d3e7/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
94,Components in a Circuit (Lesson 2/2) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/8abb8be4-7b81-4a43-9718-fdfa1248c69b/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
95,Transmission of Electricity: Alternating Currents or Direct Currents? [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/52aad805-fdc7-4e39-b925-90409037c5fa/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
96,"Potential Difference, Voltage and Internal Resistance [H1/H2 Physics]",Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/a342f600-72b5-4129-a1ac-341f7ac27b6a/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
97,Rectification of Alternating Current (Lesson 2/2) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/fe6ac7d4-7e1c-4760-9654-bbb896d600d8/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
98,Investigating the Force on a Current-Carrying Wire [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/62a925c6-b16f-4983-83fa-11f8b4dbe84d/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
99,Work and Power (Lesson 1/3) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/57206b74-c4bd-4a79-aadc-1b678a323830/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
100,Energy and Systems (Lesson 2/3) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5320a894-5b42-4d5f-b643-f65fd214b55f/cover,Pre-U Physics (H2)  > Electricity and Magnetism > ElectromagnetismPre-U Physics (H1) > Electricity and Magnetism > Electromagnetism
101,Centripetal Force Causes Circular Motion (Lesson 1/3) [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/81c1f215-7d50-4709-b5f6-ce829ecb3417/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
102,Resistors in Series and Parallel Arrangements [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/45a84cea-a28e-407d-9c29-33fc1d0ea4a3/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
103,Are bananas radioactive? [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/d6a2566e-8133-4cf0-9b8f-2b4c97e0a8ac/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
104,Nuclear Reactions (Fusion and Fission) [H1/H2/H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/473ab97d-36aa-4250-b776-b39f03aa4a11/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
105,What is Physics? [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/8bce30f6-39e4-4b95-8150-3027e751b694/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
106,Musical acoustics: Wind instruments,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/623a337e-790c-4f97-80dd-78683c396cd7/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
107,Uncertainty [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/f3584530-4a83-4e76-bfee-a6ec8fef986d/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
108,H3 Physics Learning Series: Cloaking Devices,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/d29e19ba-9244-401d-8006-8b35454a8a6d/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
109,H3 Physics Learning Series: Quantum Thermodynamics,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/98608026-38d2-4793-9e71-7bede52c7ca7/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
110,H3 Physics Learning Series: Symmetry and Physics,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/1c17dc29-1e4f-4a2b-b093-1978c81c8346/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
111,H3 Physics Learning Series: Harvesting Solar Energy,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/48800097-f5a0-4f8f-aed9-fe6d058a8321/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
112,Force on a Moving Charge in a Magnetic Field [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c2c45a1f-2dd0-456e-b82f-b278c19a009b/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
113,What is Physics? [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/5b862982-3459-4399-8136-b67be69c6b08/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
114,Gauss' Law [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/69c88597-37a5-4892-9deb-51d5cef0d2b3/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
115,Copy of Potential Divider in Circuits [H1/H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/427a973c-c687-4b11-9eb4-bfeab454f365/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
116,Copy of Electronic Structure of Atoms [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/56f0f7a9-22e5-4704-a411-fe5da55f6e28/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
117,Copy of Potentiometer [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/47e2111c-a6df-4a3e-8f95-55583db1d906/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
118,(duplicate) Uniform Electric Field [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b9bc68a0-e7d1-40ba-ae75-57338ccb14bd/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
119,Force on a Moving Charge in a Magnetic Field [H1 and H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/28d93a5c-b0f8-495f-9d3e-3902735aa33c/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
120,Digital Literacy -- Introduction to Spreadsheets [Lesson 1/2],Lesson,Biology,"Pre-U 1, Pre-U 2, Pre-U 3",17-Dec-21,Approved,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ffa617fd-1766-48f8-92b7-53b70dcc3f40/cover,Pre-U Physics (H2)  > Newtonian Mechanics > Motion in a CirclePre-U Physics (H1) > Newtonian Mechanics > Motion in a Circle & Orbits
121,Stationary (Standing) Sound Waves [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/ff6e2886-0736-4bcc-88f8-ff6ca2dd472d/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
122,Quantisation of Particle Energy [H2/H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/49bad5a6-cb39-41dd-997b-951766e45356/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
123,Quantum Models of Light and Matter [H2/H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/e4ba0c50-af86-4316-9442-861ee7a67cf4/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
124,Statistical Mechanics and Thermodynamics [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/3cf661d9-f1e0-4ca0-b53b-6501cb0bfa98/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
125,Rotational Mechanics [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/2e59d52d-4d4a-44ab-8100-61909c814028/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
126,What is Physics? [H2 Physics] new link,Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/b5309df2-df9e-4584-82cb-3310b8fa9e11/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
127,Inertial Frames [H3 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/d80dee55-a342-429d-a829-8fb21e3f29bc/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
128,What is Physics? [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/14fe17ab-1fbb-481a-86d4-82fda9ff5df4/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
129,Radioactive decay (Lesson 3/3) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/eee58adc-b454-4171-b626-997b3c6adc4e/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
130,The Effect of Electromagnetic Induction on a Magnet Falling Through a Copper Pipe [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6878daed-2339-410f-96b8-90b371030ecf/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
131,Radioactive decay (Lesson 3/3) [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/47a1a0e1-4d0d-4fed-824b-e7a29edd0ac9/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
132,Force on a Moving Charge in a Magnetic Field [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/58dd825d-e7aa-483d-9ca2-5449dcd2dfac/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
133,Power and Resistance in a Circuit (Lesson 1/2) [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/0badb317-86b4-45a5-bba6-11c69d7eb32d/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
134,Power and Resistance in a Circuit (Lesson 1/2) [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/c383b2e4-5811-41cc-a69a-0709ee1f769b/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
135,Current and Charge [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/bc6f50a1-80e3-4472-916b-76393f705dc2/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
136,Current and Charge [H2 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/6a4c9b42-35eb-4d12-beef-98da4e7f5010/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
137,Electric Field [H1 Physics],Lesson,Physics,"Pre-U 1, Pre-U 2, Pre-U 3",23-Dec-20,Unpublished,PreU_Sci,https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/41448fb9-e51f-49cf-901a-a82bf48429e5/cover,Pre-U Physics (H2)  > Oscillations and Waves > Wave MotionPre-U Physics (H2)  > Oscillations and Waves > Superposition
