S/N,Title,Address,Phone,Fax,Email
208,Edvox Music School,"Blk 204 Hougang Street 21 #03-103, 530204",6287 7240,6234 4528,class@edvox.com
209,Edvox Music School MP [fka Edvox Music School (MP)],"(Main) Blk 86 Marine Parade Central #03-211, 440086",6100 3380,6399 3380,class@edvox.com
210,Edvox Music School MP [fka Edvox Music School (MP)],"5 Tampines Central 6 #01-14 Telepark, 529482",6100 3380,,class@edvox.com
211,Efficient Tuition Centre,"c/o Blk 201E Tampines Street 23 #03-102, 527201",6787 9813,,
212,EIS International Pre-School,"7 Seraya Lane, 437275",6348 4780,6348 4781,toshihiro@pacific.net.sg
213,Eishinkan Learning School,"111 Somerset Road
#02-22/23/24/25/26 Tripleone Somerset, 238164",6336 3266,6336 3200,y-terada@eishinkan.co.jp
214,Elite Creations Education Centre,"Blk 350 Jurong East Avenue 1 #01-1225 (2nd Floor), 600350",6425 5071,6425 5086,
215,Elite Creations Education Centre (West Coast),"Blk 727 Clementi West Street 2 #01-258 (2nd Storey), 120727",6777 0647,,tcw-registrar@elitecreations-edu.com
216,Elka Music School (Yishun),"Blk 102 Yishun Avenue 5 #03-129, 760102",6753 7088,,
217,Elsa's Learning Space,"Blk 517 Jurong West Street 52 #01-83 (2nd Storey), 640517",9660 7787,,elsa.yq@gmail.com
218,Embrace Learning House,"Blk 144 Teck Whye Lane #01-217 (2nd Storey), 680144",6766 6893,6766 6893,seashirley@singnet.com.sg
219,EMC Learning Centre,"Blk 250 Bishan Street 22 #B1-384, 570250",6451 4188,6451 3181,emclc@yahoo.com.sg
220,Emma Study Place,"(Main) Blk 209 New Upper Changi Road #04-647, 460209",6635 1625,,finance.esp@emmastudyplace.com
221,Emma Study Place,"8 Jalan Tampang, 758952",6493 2325,,Elaine.chin@emmastudyplace.com
222,Emmanuel Music School,"Blk 215 Bedok North Street 1 #02-83, 460215",6444 3677  / 6448 8338,,mail@emmanuelmusic.com.sg
223,Empire Code Education Centre,"19 Tanglin Road #04-15 Tanglin Shopping Centre, 247909",8145 5004,,sg@empirecode.co
224,Emsbridge Education Centre [fka Emsbridge Tutorial Centre],"Blk 809 Hougang Central #04-184, 530809",9070 0857,,yakhwee@gmail.com
225,Engineers Angle Learning Centre,"1 Brooke Road #02-46 Katong Plaza, 429979",9729 4140,,admin@engineersangle.com
226,English Builder Learning Centre,"Blk 492 Jurong West Street 41 #01-22, 640492",6565 6770,,english_builder@ymail.com
227,Epic Learning Centre,"317 Outram Road #02-37 Concorde Shopping Centre, 169075",6735 7617,,epiclearningcentre@gmail.com
228,Epoch Talent Academy [fka Epoch Talent Development Education Centre],"Blk 86 Marine Parade Central #04-302, 440086",6342 0681,6342 0682,epoch@singnet.com.sg
229,Equinox Education Center,"Blk 81 Marine Parade Central #01-644 (2nd Storey), 440081",8246 5685,,samuel@ededucation.sg
230,Eric Kua Education Centre,"170 Upper Bukit Timah Road #02-63 Bukit Timah Shopping Centre, 588179",6788 4880,,erickua2003@yahoo.com
231,Essence Education Centre,"587 Bukit Timah Road #03-32 Coronation Plaza, 269707",9880 7976,,info@essenceedu.com
232,Eton Tuition Centre,"Blk 424 Hougang Avenue 6 #B1-74, 530424",6385 3133,,etonedu@gmail.com
233,EtonHouse International Pre-School,"(Main) 8 Thomson Lane, 297743",6252 3322,6235 9630,enquiry@etonhouse.com.sg
234,EtonHouse International Pre-School,"31 & 33 Allanbrooke Road, 099980",6377 3322,,sentosa@etonhouse.edu.sg
235,EtonHouse International Pre-School,"15 Claymore Road, 229542",6746 3333,,enquiry@etonhouse.com.sg
236,Eugene Toh Academy,"11 Sin Ming Road #B1-18  Thomson V Two, 575629",8182 3036,,eugene@tuitiongenius.com
237,Eureka Edvantage Learning Hub,"10 Winstedt Road #03-01 Block A, 227977",6471 1555,,thamian@gmail.com
238,Eureka! Tuition Hub,"80 Marine Parade Road #13-01 Parkway Parade, 449269",8484 0468,,eurekatuitionhub@yahoo.com
239,Evo Learning Hub,"Blk 11 Chai Chee Road #01-15, 460011",6441 1680,6441 1680,rosrosrosalind@yahoo.com.sg
240,Excelerate Learning Centre,"Blk 683 Hougang Avenue 8 #01-929, 530683",6386 1396,6386 1396,yanho@singnet.com.sg
241,Excella Learning Hub,"Blk 237 Choa Chu Kang Central #B1-63, 680237",6763 7737,,liyunxiu@gmail.com
242,Faith Learning Centre,"9 King Albert Park #02-27 KAP, 598332",6469 5280,,shaodan@gmail.com
243,Fame Music School,"1 Jalan Anak Bukit #02-09 Bukit Timah Plaza, 588996",6469 2090,,info@famemusicschool.com
244,Fangcao Yuan Education Centre,"(Main) Blk 168 Lorong 1 Toa Payoh #01-1026, 310168",6352 2210,,lrw_liu@126.com
245,Feng Hua Language Studies Centre,"557 Bukit Timah Road #02-13 Crown Centre, 269694",6464 9415,6314 7989,fenghua0213@yahoo.com
246,Finnish Supplementary School,"Overseas Family School, 25F Paterson Road, 238515",6322 2451,6225 5469,
247,First Bridge Learning,"(Main) Blk 279 Bishan Street 24 #01-58, 570279",9062 2287,,Jessica_chong_sg@yahoo.com
248,Fisherman Music School,"6 Sin Ming Road #01-14 Sin Ming Plaza, 575585",6456 6165,6457 7930,music@fimusch.com
249,Flint Education Centre,"Blk 11A Boon Tiong Road #02-09/10, 161011",6253 2572,,spark@flint-education.com
250,Florence Learning Hub,"271 Bukit Timah Road #B1-06 Balmoral Plaza, 259708",9234 4012,,hooflorence@gmail.com
251,Flying Colours Education Centre,"Blk 39 Chai Chee Avenue #01-219, 461039",6445 8852,6445 8852,flyingcolours39@hotmail.com
252,Flying Colours Learning Centre,"Blk 158 Bedok South Avenue 3 #01-579, 460158",9771 5025,,flyingcolours158@yahoo.com
253,Focus Education Centre,"50 East Coast Road #02-139/140 Roxy Square, 428769",6346 5211,,krish_1409@yahoo.com.sg
254,Foorman Music Studios,"Blk 2 Jalan Bukit Merah #01-5166, 150002",6273 9880,6273 9880,
255,Formuless Maths Learning Centre,"116 Changi Road #03-14 WIS@Changi, 419718",9829 3745,,formulessmath@gmail.com
256,Fran Learning Centre,"Blk 85 Lorong 4 Toa Payoh #01-332, 310085",6252 8218,,francistlk@hotmail.com
257,Frankel Tutors,"18 Jalan Masjid #01-03 Kembangan Plaza, 418944",6441 8120,,frankeltutors@gmail.com
258,French Language Academy,"Blk 452 Ang Mo Kio Avenue 10 #01-1793 (2nd Storey), 560452",8339 7286,6352 8215,contact@frenchlanguageacademy.sg
259,French Language Studio,"81 East Coast Road, 2nd Storey, 428785",6610 3697,,info@frenchstudio.sg
260,French Toast Language Centre,"220A Upper Thomson Road, 574352",6455 6518,,contact@frenchtoast.sg
261,Fun Kidz Learning Place,"Blk 729 Yishun Street 71 #01-107, 760729",8828 7672,,funkidzlearningplace@hotmail.com
262,Fun Learners' School,"(Main) Blk 371 Bukit Batok Street 31 #02-328, 650371",6567 3208,6399 0322,chinyoung@alumni.nus.edu.sg
263,Fun With Abacus School,"1 Brooke Road #02-45 Katong Plaza, 429979",9786 5383,,course@funwithabacus.com
264,Future Academy,"175A Bencoolen Street #06-05 Burlington Square, 189650",6884 6566,6884 6366,chen@tutorchen.com
265,Gakkyusha Learning Centre,"123 Penang Road #02-12 Regency House, 238465",6534 1939,,miura@singnet.com.sg
266,Ganada Korean Language Centre,"420 North Bridge Road #02-20 North Bridge Centre, 188727",6336 4255,,gndkls@gmail.com
267,Gen-Y Education Centre,"Blk 201B Tampines Street 21 #01-1067 (2nd Storey), 522201",6786 9818,6784 3818,genytuition@hotmail.com
268,General Learning Centre,"Blk 915 Tampines Street 91 #01-47, 520915",6250 8581,,admin.office@glc.school
269,Genie Education Hub,"Blk 265 Bukit Batok East Avenue 4 #01-393, 650265",9181 7689,,genie.edu.hub@hotmail.com
270,Genius Farm Learners' Hub,"Blk 665A Punggol Drive #01-03 Waterway Woodcress, 821665",6612 7517,,geniusfarm@yahoo.com.sg
271,Genius Plus Academy,"587 Bukit Timah Road #03-30 Coronation Plaza, 269707",9736 3029,,eileen@tuitiongenius.com
272,GEOS Language Centre,"178 Clemenceau Avenue #01-00 Haw Par Glass Tower, 239926",6734 6833,6738 6819,ebenlau@geosing.com.sg
273,Gifted and Talented Education Centre,"(Main) 30 East Coast Road #02-23/24/25/26 Village Hotel Katong, 428751",6467 1369,,yulihong888@yahoo.com.sg
274,Gifted and Talented Education Centre,"Blk 72 Loewen Road #02-07, 248848",6467 1369,,yulihong888@yahoo.com.sg
275,Gifted and Talented Education Centre,"1 Jalan Anak Bukit #02-23 Bukit Timah Plaza, 588996",6467 1369,,yulihong888@yahoo.com.sg
276,GK Learning Centre,"Blk 163 Ang Mo Kio Avenue 4 #01-414, 560163",9730 6816,,hello@gklearning.com.sg
277,Global Achievers Education Centre,"Blk 242 Jurong East Street 24 #01-625, 600242",6569 1200,,info@globalachieversedu.com
278,Goethe-Institut (Singapore Branch),"136 & 138 Neil Road, 088865",6735 4555,6735 4666,Administration-singapore@goethe.de
279,Golden Microphone Language Centre,"Blk 204 Bedok North Street 1 #01-425 (2nd Storey), 460204",6401 1938,,lc.shicheng@gmail.com
280,Good School Learning Hub,"1026A Upper Serangoon Road, 534764",6635 6047,,goodschoollearninghub@gmail.com
281,GRAM's Learning Centre,"144 Upper Bukit Timah Road #02-15 Beauty World Centre, 588177",6467 1258,,enquiries@gramslearning.co.sg
282,Green House Language Centre,"Blk 212 Bishan Street 23 #B1-257, 570212",6459 5955,,
283,Greenish Learning Centre,"Blk 144 Teck Whye Lane #01-217, 680144",6766 6893,6766 6893,
284,Greenish Learning Centre (Kingston Terrace),"14D Jalan Masjid #01-03, 418935",6742 8696,6742 8696,enquiry@greenishlearning.com
285,Han Language Centre,"Blk 845 Yishun Street 81 #02-184, 760845",6482 7476,6756 7069,enquiry@hanlanguage.edu.sg
286,Hanbridge Learning Hub,"231 Mountbatten Road #01-01/02 Block F, 397999",6513 0691,6513 0697,monica@hanbridge.edu.sg
287,Hanlin Language School,"1 Woodlands Road #02-05 Junction 10, 677899",6767 0420,,hanlinschool@gmail.com
288,Hao Lao Shi Education Centre [fka Hao Lao Shi Tuition Centre],"Blk 664 Yishun Avenue 4 #01-277, 760664",9853 5675,,du_feng@hotmail.com
289,Hao Mu Education Centre,"13 Jurong Lake Link #01-46 Lakeville, 648156",9778 8237,,haomusgedu@gmail.com
290,Happy Chinese Learning Center,"(Main) Blk 236 Yishun Ring Road #01-1016, 760236",9039 3555,,hclc106@gmail.com
291,Happy Chinese Learning Center,"Blk 106 Yishun Ring Road #01-199 (2nd Storey), 760106",9039 3555,,hclc106@gmail.com
292,Happy Tutors Learning Centre,"Blk 519 Jurong West Street 52 #01-169, 640519",6565 9126,,joinhappytutors@gmail.com
293,Harmony Piano Studio,"144 Upper Bukit Timah Road #B1-09 Beauty World Centre, 588177",6469 2324,,harmonymusic93@hotmail.com
294,Harmony Road Music School,"14A Kensington Park Road, 557265",6487 6678,,anna.goh@harmonyroadmusic.org
295,HCL Education Centre,"Blk 279 Bishan Street 24 #01-56 (2nd Storey), 570279",6554 9246,6455 9067,hcl_edu@hotmail.com
296,HESS Education Centre,"140 East Coast Road, 428830",6333 6915,6333 6912,enquiries@hess.com.sg
297,Horizon Tuition Centre,"Blk 152 Mei Ling Street #01-10, 140152",6471 3580,6471 3580,horizontuition@singnet.com.sg
298,Hougang Japanese Language School,"Blk 204 Hougang Street 21 #04-113, 530204",6282 7590,,
299,Hougang Japanese Language School (Alexandra Branch),"Blk 123 Bukit Merah Lane 1 #04-82, 150123",6273 8434,,
300,Hua Cheng Education Centre,"301 Upper Thomson Road #02-09 Thomson Plaza, 574408",6458 3906,6451 3122,
301,Hua Han Chinese Education Centre,"Blk 4 Queen's Road #02-121, 260004",6474 8819,6474 6618,
302,Hua Language Centre [fka Hua Language Centre (United Square)],"(Main) 101 Thomson Road #03-25/26 United Square, 307591",6255 5060,6255 5503,enquiries@hua.com.sg
303,Hua Language Centre [fka Hua Language Centre (United Square)],"1 Woodlands Square #05-03 Causeway Point, 738099",6894 7183,,causeway@hua.com.sg
304,Hua Language Centre [fka Hua Language Centre (United Square)],"1 Seletar Road #02-09 The Greenwich, 807011",6555 5780,,greenwich@hua.com.sg
305,Hua Sheng Education Centre,"559 Bukit Timah Road #02-02C King's Arcade, 269695",6463 9328,,hsgroup.edu@gmail.com
306,Hui Tong Chinese Language School,"Blk 266 Upper Bukit Timah Road #01-07/08/08A, 588209",6763 2385,,yuelin0816@yahoo.com
307,Humanities Hub Education Centre,"1 Coleman Street #05-04A The Adelphi, 179803",6264 2236,,info@humanitieshub.com
308,Hwa Chong International School,"663 Bukit Timah Road, 269783",6464 7077,6464 7060,admin@hcis.edu.sg
309,I Campus Education Hub,"Blk 131 Jurong East Street 13 #04-245, 600131",6100 1316,6899 3634,sannly@mycsingapore.com.sg
310,I Can Read Learning Centre (Ang Mo Kio),"Blk 728 Ang Mo Kio Avenue 6 #01-4218, 560728",6552 5122,6552 1012,icanreadamk@gmail.com
311,I Can Read Learning Centre (Harbourfront),"1 Maritime Square #03-08 Harbourfront Centre, 099253",6275 0500,6275 5813,icrharbourfront@gmail.com
312,I Can Read Learning Centre (Jurong East),"Blk 135 Jurong Gateway Road #03-339, 600135",6569 0712,,jurongeast@icanread.asia
313,I Can Read Learning Centre (Kovan),"Blk 205 Hougang Street 21 #04-00 Heartland Mall, Kovan, 530205",6343 0320,6289 6081,kovan@icanread.com.sg
314,I Can Read Learning Centre (Pasir Ris),"1 Pasir Ris Central Street 3 #05-06 Whitesands Shopping Centre, 518457",6583 9369,6581 3865,
315,I Can Read Learning Centre (West Coast),"154 West Coast Road #01-62 West Coast Plaza, 127371",6778 0067,6778 0037,westcoastplaza@icanread.asia
316,I-Creative Learner Hub (Ang Mo Kio),"Blk 114 Ang Mo Kio Avenue 4 #01-351, 560114",9012 3261,,angmokiohub@i-creativelearner.com
317,I-Creative Learner Hub (Chai Chee),"Blk 42 Chai Chee Street #01-42, 461042",6300 7942,,chaicheehub@i-creative.com
318,I-Creative Learner Hub (Clementi West),"Blk 612 Clementi West Street 1 #01-304, 120612",6300 7946,,admin@i-creativelearner.com
319,I-Creative Learner Hub (Everton Park),"Blk 5 Everton Park #01-34, 080005",9825 7897,,evertonparkhub@i-creativelearner.com
320,I-Creative Learner Hub (Hougang Ave 1),"Blk 124 Hougang Avenue 1 #01-1458, 530124",hougangave1hub@i-creativelearner.com,,
321,I-Creative Learner Hub (Hougang),"Blk 247 Hougang Avenue 3 #01-460, 530247",9088 2990,,iclhougang@gmail.com
322,I-Creative Learner Hub (Tiong Bahru),"Blk 78 Yong Siak Street #01-16, 163078",9752 0517,,tiongbahruhub@i-creativelearner.com
323,I3 Education Lab,"190 Changi Road #03-01/02/03, 419974",6323 1229,,enquiry@gigis.edu.sg
324,Icon+ Education Centre [fka TOPrep Education Centre],"61 Stamford Road #01-01 Stamford Court, 178892",6336 6551,6336 5205,singapore@icon-plus.com
325,Ideas Ink School,"7 One-North Gateway #01-13 One-North Residences, 138642",6778 3308,,Pekky87@gmail.com
326,Ikoma Language School,"350 Orchard Road #12-07 Shaw House, 238868",6238 0288,6238 0233,school@ikoma.com.sg
327,iLEAP Learning Centre,"6 Ang Mo Kio Street 53 #01-04 Cheng San Community Club, 569205",6459 7168,,ileaplcangmokio@yahoo.com.sg
328,Illuminate Learning Centre,"Blk 134 Jurong Gateway Road #04-307E, 600134",8339 4256,,illuminatelearningctr@gmail.com
329,IMA Enrichment Hub,"Blk 184 Toa Payoh Central #01-356 (2nd Storey), 310184",6251 5178,,joanchenxq@hotmail.com
330,iMatter Learning Centre,"18 Yishun Avenue 9 #02-48 Junction Nine, 768897",8768 6497,,info@imatter.com.sg
331,Improvement Tuition Centre,"Blk 258 Bukit Panjang Ring Road #01-44, 670258",6762 0537,6762 0537,
332,Incensive Tuition Centre,"157A Thomson Road Goldhill Shopping Centre, 307610",6258 5308,,admin@exampaper.com.sg
333,Indigo Education Centre,"(Main) 271 Bukit Timah Road #B1-09 Balmoral Plaza, 259708",6634 2208,,contact@indigogroup.com.sg
334,Indigo Education Centre,"101 Irrawaddy Road #02-01/02/03/04 Royal Square at Novena, 329565",6977 9522,,samuellim@indigogroup.com.sg
335,Innovative Tuition Centre,"Blk 305 Ubi Avenue 1 #02-169, 400305",6841 1179,6749 7938,innoedu@yahoo.com
336,Inquisitive Minds EduCentre,"587 Bukit Timah Road #03-02 Coronation Plaza, 269707",9186 4468,,scienceiqminds@gmail.com
337,Inspire Future Tuition & Enrichment Hub,"Blk 158 Bukit Batok Street 11 #02-220, 650158",8268 5301,,christina@inspirefuture.sg
338,InstanTuition EduHub [fka Lavin Tuition Centre],"Blk 801 Tampines Avenue 4 #01-267 (2nd Storey), 520801",6784 6696,6784 6696,c.chenyong@outlook.com
339,Integral Learning Academy,"Blk 18 Bedok South Road #01-65, 460018",6208 3508,,alex_lim@integrallearning.com.sg
340,Integral Learning Academy (Braddell),"Blk 206 Toa Payoh North #01-1219, 310206",6906 4951,,braddell@integrallearning.com.sg
341,Intelligent Mental Arithmetic Enrichment Centre (Marsiling),"Blk 303 Woodlands Street 31 #01-201 (2nd Storey), 730303",6365 5281,6365 5289,marsiling@imaedu.com.sg
342,Intelligent Minds Learning Center,"Blk 233 Yishun Street 21 #01-468 (2nd Storey), 760233",9199 5949,,fionatwc@hotmail.com
343,IPMUM Education Centre,"21 Hougang Street 51 #02-02 Hougang Green Shopping Mall, 538719",6493 2761,,ipmummath@gmail.com
344,IQ & EQ Tuition Centre,"5 Tampines Street 32 #02-10/11 Tampines Mart, 529284",6443 1660,,iqandeq.tm@gmail.com
345,Isucceed Education Centre [fka Genius @ Work Learning Lab],"Blk 825 Tampines Street 81 #01-66, 520825",9760 8875,,isucceed.sg@gmail.com
346,Italian Supplementary School,"Embassy of Italy, 101 Thomson Road #27-02/03 United Square, 307591",6253 3301,,
347,Iunique Academy,"3 Tampines Central 1 #05-01 to 05 Abacus Plaza, 529540",6260 4466,,hello@iunique.academy
348,J Carter Centre for Public Speaking,"6 Sin Ming Road #01-05 Sin Ming Plaza, 575585",6737 2700,,carter@jcartercentre.com
349,Jac's Learning Centre,"(Main) 2 Sembawang Crescent #02-04 The Jelutung Community Club, 757632",6755 0057,,sokkung@gmail.com
350,Jac's Learning Centre,"Blk 403 Sin Ming Avenue #01-307, 570403",6755 0057,,sokkung@gmail.com
351,Jan & Elly English Language School (Seletar Hills),"1 Seletar Road #02-10 The Greenwich, 807011",6481 8892,6481 7793,seletarhills@jan-elly.com
352,Jan & Elly English Language School [fka Jan & Elly The Learning Place],"432 Upper Bukit Timah Road The Rail Mall, 678058",6762 7783,6762 7781,enquiry@jan-elly.com
353,Janus Academy,"Blk 86 Marine Parade Central #03-213, 440086",6345 8026,,ask@janus.edu.sg
354,Japanese Kindergarten,"251 West Coast Road, 127390",6779 3434,6777 1830,yochien@jks.com.sg
355,Japanese Language and Cultural Heritage School,"1 Sarkies Road, 258130",9711 3103,,tomoko.utsumi@gmail.com
356,JC Economics Education Centre,"(Main) 170 Upper Bukit Timah Road #05-54 Bukit Timah Shopping Centre, 588179",8611 3858,,admin@jceconomics.com
357,JC Economics Education Centre,"Blk 201E Tampines Street 23 #02-106, 527201",8611 3858,,admin@jceconomics.com
358,JCS Japanese Language School,"112 Middle Road #03-03 Midland House, 188970",6338 8964,6339 0328,culture@jcss.org.sg
359,Jessin Children Enrichment Centre,"Blk 85B Lorong 4 Toa Payoh #01-336, 312085",6552 8681,6552 8681,JESSINCE@singnet.com.sg
360,Jiang Education Centre,"149 Rochor Road #04-12 Fu Lu Shou Complex, 188425",6337 2048  / 6337 5476,6337 8232,
361,Jing Cai Education Centre,"144 Upper Bukit Timah Road #02-32 Beauty World Centre, 588177",6466 7577,6468 6538,
362,Jinmuzhi Language School [fka DAMUZHI Language School],"150 Orchard Road #05-45 Orchard Plaza, 238841",6775 9758,,michelle@zhesafety.com
363,Joyhouse Learning Centre,"Blk 231 Bishan Street 23 #B1-05, 570231",6554 0603,6481 8601,evelyn@joyhouse.sg
364,Joyous Learning Academy,"Blk 177 Toa Payoh Central #01-138, 310177",6264 9193,,askjoy@joyouslearning.com.sg
365,Julia Gabriel Education Centre [fka Julia Gabriel Centre for Learning],"(Main) 583 Orchard Road #04-00 Forum, 238884",6508 9880,6836 5083,enquiries@juliagabriel.com
366,Julia Gabriel Education Centre [fka Julia Gabriel Centre for Learning],"4 Tampines Central 5 #05-03 Tampines Mall, 529510",6444 6735,6444 6706,enquiries@juliagabriel.com
367,Just Education Learning Centre (Sengkang),"Blk 308 Anchorvale Road #01-09, 540308",6387 0700,6886 0040,sengkang@justeducation.com
368,JustEdu Learning Centre,"Blk 373 Bukit Batok Street 31 #02-246, 650373",6567 0600,,bukitgombak@justedu.com.sg
369,JustEdu Learning Centre (Pasir Ris),"1 Pasir Ris Central Street 3 #05-07C White Sands, 518457",6584 0300,,pasirris@justedu.com.sg
370,JustEdu Learning Centre (Sembawang),"30 Sembawang Drive #04-02/03/04 Sun Plaza, 757713",6752 0400,,sembawang@justedu.com.sg
371,JustEdu Learning Centre (Yishun),"1 Northpoint Drive #02-162 Northpoint City, 768019",6766 0600,,yishun@justedu.com.sg
372,K Planet Tuition Centre,"Blk 309 Choa Chu Kang Avenue 4 #06-02 Choa Chu Kang Centre, 680309",6892 0060,,cch@i1holidays.com
373,Kaesac Learning Centre,"Blk 86 Marine Parade Central #04-301, 440086",6478 1228,6478 1338,kaesac_lc@yahoo.com
374,Keen Minds Enrichment Centre,"30 Bukit Batok Street 31 #03-08 Hong Kah North Community Centre, 659440",6563 6838,,kmssingapore@mail.com
375,Kelly Academy,"(Main) 170 Upper Bukit Timah Road #04-53 Bukit Timah Shopping Centre, 588179",9192 9873,,kellyacademysg@gmail.com
376,Kelly Academy,"557 Bukit Timah Road #01-10 Crown Centre, 269694",9192 9873,,kellyacademysg@gmail.com
377,Ken Tuition Centre,"Blk 256 Yishun Ring Road #01-1003 (2nd Storey), 760256",6757 3943,,kentuition@gmail.com
378,Kent Ridge Education Hub,"(Main) 500 Lorong 6 Toa Payoh #04-32                                                          m, 310500",6354 0444,6250 1444,ops.manager@kentridgetutors.net
379,Kewo Education Center,"Blk 479 Jurong West Street 41 #01-268, 640479",6909 5716,,francis.zhang@kewo.com
380,KHM Education Centre,"Blk 123 Bukit Merah Lane 1 #03-86 Alexandra Village, 150123",6377 5067,6377 5068,kanhm@pacific.net.sg
381,Kids R Kids Learning Centre,"Blk 393 Tampines Avenue 7 #01-251, 520393",6747 8784,,kidsrkids2020@gmail.com
382,Kids Testing and Dyslexia Centre,"317 Outram Road #02-79/76 Concorde Hotel Shopping Centre, 169075",6732 9038,6732 1252,vicmolly@magix.com.sg
383,Kidstartnow Digital Learning Centre,"(Main) Blk 209, New Upper Changi Road #03-649, 460209",6481 1932,,enquiry@kidstartnow.com
384,Kidstartnow Digital Learning Centre,"Blk 208 Hougang Street 21 #03-205, 530208",6285 6520,,Dan.tang@kidstartnow.com
385,Kidz Campus,"30 Woodlands Avenue 1 #02-12/13 The Woodgrove, 739065",9450 4913,,patchris133@yahoo.com
386,Kimiya Learning Place,"Blk 443 Ang Mo Kio Avenue 10 #01-1251 (2nd Storey), 560443",6554 9440,,info@thekimiyagroup.com
387,Kinder Growth Learning Centre,"144 Upper Bukit Timah Road #02-06 Beauty World Centre, 588177",6909 3746,,admin@kindergrowth.com
388,Knowledge Park Education Centre,"c/o Blk 728 Jurong West Avenue 5 #B1-198, 640728",6763 3676,6767 7378,admin@eknowlegdepark.com
389,Kode with Kids School,"Blk 314 Tanglin Road #01-07, 247977",6704 7491,,admin@kodewithkids.com
390,Kokoroeducation Centre,"Blk 2 Balestier Road #03-653 Balestier Hill Shopping Centre, 320002",6256 1944,6255 1128,etann@singnet.com.sg
391,Komabakai Education Centre,"19 Tanglin Road #03-01/02 Tanglin Shopping Centre, 247909",6736 1636,,yomo@cradle.asia
392,Konohana Kindergarten [fka Konohana Gakuin Kindergarten],"16 Ramsgate Road, 437462",6342 0100,6342 0200,info@konohana.edu.sg
393,Korean Church Kindergarten,"21 Gangsa Road, 678973",6760 7147,,kokid@hanmail.net
394,Kovan Learning Centre,"22 Yio Chu Kang Road #02-07 Highland Centre, 545535",6282 5560,6487 6044,kovanlearningcentre@yahoo.com.sg
395,Kumon Learning Centre,"(Main) 1 Kim Seng Promenade #02-41 Great World City, 237994",6232 5855,,ngsw@kumon.com.sg
396,Kumon Learning Centre,"370 Alexandra Road #B1-40 Anchorpoint Shopping Centre, 159953",6479 9130,6479 9130,ngsw@kumon.com.sg
397,Kungfu Physics Education Hub,"(Main) 170 Upper Bukit Timah Road #B1-25 Bukit Timah Shopping Centre, 588179",9653 3573,,admin@kungfuphysics.com
398,Kungfu Physics Education Hub,"Blk 503 Bishan Street 11 #01-456, 570503",6555 1750,,admin@kungfuphysics.com
399,Language Express Learning Centre,"Blk 442 Clementi Avenue 3 #01-89 (2nd Storey), 120442",6778 6896,6777 5196,xiezongtang@yahoo.com.sg
400,LCE School of Arts and Design,"1 Sophia Road #03-23 Peace Centre, 228149",6339 9441,,lcenet@pacific.net.sg
401,Le Centre Linguistique,"22 Yio Chu Kang Road #02-09 Highland Centre, 545535",8399 3969,,richa2904@hotmail.com
402,Le Zhi Language Centre,"(Main) Blk 503 Jurong West Avenue 1 #02-847, 640503",6563 7797,6425 2076,enquire@lezhi.com.sg
403,Le Zhi Language Centre,"Blk 209 New Upper Changi Road #04-653, 460209",6563 7797,6425 2076,enquire@lezhi.com.sg
404,Leading Education Centre,"218 Orchard Road #08-01  Orchard Gateway @ Emerald, 238851",6702 7801,,takagi@leadingedu.com.sg
405,Leap Learning Centre,"51 Upper Serangoon Road #03-07 The Poiz Centre, 347697",6904 3528,,enquiry@leaplc.com
406,Learncubator Education Hub,"Blk 211 Choa Chu Kang Central #B1-120, 680211",9093 5679,,admin@learncubator.com.sg
407,Learners'  Gateway Education Centre,"30 Woodlands Avenue 1 #02-11 The Woodgrove, 739065",6760 0656,,contact@learnersgateway.com.sg
408,Learners' Loft,"Blk 163 Bukit Merah Central #03-3595, 150163",9848 5666,,learnersloft@gmail.com
409,Learning @ The Pinnacle,"Blk 292 Yishun Street 22 #01-271, 760292",6257 7119,,dionho@mail.com
410,Learning Centre@Sengkang,"31 Anchorvale Road, 545056",6315 9383,6315 9383,lcs@skmc.org.sg
411,Learning Chapters Education Hub,"Blk 116 Bishan Street 12 #01-34 (2nd Storey), 570116",6909 2700,,enquiries@learningchapters.com.sg
412,Learning Edge Education Centre,"Blk 108 Hougang Avenue 1 #01-1321, 530108",9690 8450,,admin@leec.com.sg
413,Learning Genius Educentre (The Midtown),"1187 Upper Serangoon Road #02-19 The Midtown, 533971",9736 7849,,PL.ang.patrick@gmail.com
414,Learning Habitat,"10 Sengkang Central #01-01/02 Buangkok MRT Station, 545061",6425 7274,,canning@learninghabitat.com.sg
415,Learning Journey Education Centre,"(Main) Blk 540 Serangoon North Avenue 4 #B1-109, 550540",6555 1849,,learningjourneysg@gmail.com
416,Learning Journey Education Centre,"Blk 658 Punggol East #01-09, 820658",6555 1849,,learningjourneysg@gmail.com
417,Learning Kidz Educentre,"61 Ang Mo Kio Avenue 8 #03-03, 569814",6456 0363,6456 0383,learningkidz@yahoo.com.sg
418,Learning Out Of The Box Education Centre,"Blk 548 Ang Mo Kio Avenue 10 #01-2012, 560548",6456 1617,,john@learningoutofthebox.org
419,Learning Paradise Chinese Education Hub,"Blk 265 Serangoon Central Drive #02-271, 550265",6483 1759,,Amychin3@yahoo.com
420,Learning Point Education Centre,"c/o 301 Upper Thomson Road #03-19/20 Thomson Plaza, 574408",6453 3323  / 6453 8318,6451 3122,learningpoint@pacific.net.sg
